518.009 122.337 50.619 25.194 25.77 8.548 12.204 6.891 1.101 1.388 11.447 2.563 8.776 55.28 30.89
774.628 222.362 55.777 50.416 22.206 7.077 8.338 1.986 4.753 0.384 14.962 1.209 1.145 1.296 4.672
641.097 381.702 80.211 19.332 14.662 12.458 4.982 5.681 1.844 3.629 3.342 1.901 1.424 31.136 5.241
764.531 201.506 162.908 73.168 17.257 3.955 8.469 1.444 2.041 10.512 4.733 7.826 2.386 0.984 0.15
1736.899 280.386 102.026 106.509 42.781 25.806 4.784 3.474 2.358 1.76 1.304 1.053 10.809 0.289 0.356
520.213 757.095 103.918 54.589 54.99 27.232 5.89 1.648 11.082 8.081 0.729 1.154 0.07 2.116 15.414
226.62 171.082 210.554 53.031 16.452 33.899 4.558 4.186 4.28 1.511 3.58 0.984 0.3 1.936 0.21
572.884 190.086 133.352 138.603 11.497 11.54 13.108 7.71 0.419 4.151 0.584 0.314 0.061 0.04 0.442
507.71 89.299 66.047 61.435 59.733 59.322 26.134 15.127 4.105 2.153 0.477 1.608 4.855 2.619 0.062
240.193 212.162 90.283 70.958 16.747 49.239 15.022 17.693 6.132 1.797 0.285 0.328 0.253 19.103 31.855
677.359 146.422 55.685 46.347 15.895 46.374 15.279 8.599 99.227 1.346 2.156 0.147 0.663 0.058 0.227
532.748 251.959 93.721 70.612 38.991 7.419 8.359 32.013 1.994 0.274 0.815 0.263 0.403 0.117 0.255
378.709 328.564 149.032 68.308 20.185 13.605 5.023 6.523 8.545 0.589 1.5 6.38 1.546 0.287 0.013
1174.655 221.837 118.154 141.504 17.88 17.425 13.973 7.14 2.632 3.539 2.517 2.03 0.837 3.24 0.116
413.243 481.066 50.467 74.856 51.635 12.146 4.71 3.093 9.534 0.976 0.231 2.857 0.286 0.196 0.017
352.566 316.745 156.732 38.927 52.367 20.99 7.019 3.317 4.728 0.638 2.92 5.073 0.284 1.548 1.969
364.6 325.167 63.905 60.252 14.46 20.208 31.687 13.223 4.221 3.041 0.793 1.201 1.803 0.088 0.113
429.081 230.725 58.532 27.076 61.955 9.225 8.214 13.593 1.355 1.183 4.009 1.052 0.842 0.458 0.02
277.726 207.931 128.242 40.938 30.137 28.783 6.005 2.318 34.77 0.935 0.658 0.041 0.205 0.136 0.197
371.956 374.212 173.713 40.745 12.472 20.929 11.807 3.326 9.516 0.737 0.44 0.197 0.244 0.011 0.029
764.763 368.406 72.977 56.495 6.247 8.652 12.09 4.796 2.196 0.4 3.303 0.039 0.173 0.084 0.103
