33.47 30.47 25.34 54.94 44.19 36.84 22.86 22.28 22.06 23.86 12.03 11.77 7.66 2.64 3.65
36.53 49.07 61.33 57.33 40.7 32.52 31.51 24.6 14.4 11.01 12.41 12.09 6.45 9.44 5.79
28.8 92.93 57.36 71.82 63.48 29.64 19.59 21.5 14.36 24.58 9.2 10.03 5.96 2.93 4.26
20 111.72 133.47 140.84 49.6 27.43 25.44 13.47 9.25 10.99 6.75 6.3 5.19 2.74 2.07
74.37 109.68 73.15 163 79.17 41.28 20.64 16.52 11.97 7.26 10.45 8.83 6.07 9.01 4
20.2 128.89 84.39 107.72 106.67 54.78 19.03 15.28 8.51 12.7 7.36 6.61 4.28 7.95 1.37
24.81 98.12 196.07 121.28 93.29 82.77 34.92 17.04 9.24 5.65 7.9 3.36 2.63 2.14 3.07
25.83 56.81 79.68 234.78 107.64 64.8 66.38 17.21 10.72 3.91 3.82 2.47 1.69 1.8 0.36
55 31.06 76.3 79.84 179.38 115.15 48.8 28.85 10.19 7.28 3.98 2.37 1.22 0.6 0.54
48.42 57.44 53.83 141.15 92.27 141.11 62.32 38.2 20.91 19.45 3.65 1.35 1.6 1.43 5.32
64.32 74.9 101.11 76.28 74.76 69.22 148.51 40.19 26.92 10.55 8.88 2.76 0.73 1.49 0.7
88.86 94.68 86.04 88.59 64.08 56.54 32.87 73.45 14.48 8.84 16.18 2.45 1.93 0.77 0.9
73.04 163.1 161.68 60.32 146.68 52.12 37.35 23.74 42.81 11.57 8.72 4.9 1.14 1.77 1.85
68.08 51.56 173.59 182.35 56.21 59.51 25.37 19.05 10.75 39.58 6.54 2.24 3.93 1.68 0.28
16.99 120.34 128.13 150.51 142.15 60.55 29.2 22.6 12.4 10.84 19.96 4.88 1.71 4.4 0.19
28.38 86.82 203.75 143.63 122.53 104.9 33.12 21.29 12.61 10.49 2.15 10.43 3.2 1.23 2.55
26.38 60.71 169.73 322.02 93.31 72.28 46.48 18.62 10.42 5.72 5.01 2.09 19.22 1.7 2.18
19.7 72.85 67.76 170.38 181.79 53.19 62.92 29.97 10.09 5.7 2.82 3.82 2.22 5.19 0.67
52.79 93.53 57.45 144.48 108.28 126.4 42.35 27.68 18.78 8.9 3.04 4.93 1.18 2.87 4.87
70.91 103.88 94.96 90.04 90.44 68.92 58.88 17.35 15.89 16.1 3.23 2.41 0.6 1.12 1.52
115.02 167.26 76.36 138.1 68.85 43.16 41.31 30.48 13.61 8.19 3.68 1.85 2.93 0.54 0.8
