0.058 0.251 0.397 0.612 0.635 0.849 0.947 0.922 1.047 1.053 1.104 1.019 1.019 0.981 1.062
0.059 0.249 0.449 0.702 0.734 0.94 0.94 0.946 1.088 1.006 1.043 1.072 1.132 1.07 1.19
0.062 0.253 0.468 0.622 0.791 0.891 1.05 1.141 1.041 1.177 1.138 1.041 1.119 1.196 1.181
0.06 0.265 0.495 0.667 0.804 1.044 1.029 1.091 1.069 1.082 1.088 1.166 1.281 1.311 1.304
0.074 0.261 0.461 0.682 0.751 0.958 1.147 1.126 1.224 1.217 1.16 1.327 1.224 1.174 1.243
0.066 0.281 0.513 0.694 0.849 1.038 1.022 1.084 1.207 1.183 1.287 1.231 1.327 1.289 1.12
0.067 0.29 0.524 0.681 0.822 1.057 1.049 1.259 1.303 1.137 1.193 1.181 1.311 1.192 1.148
0.08 0.289 0.532 0.697 0.888 1.044 1.031 1.156 1.217 1.34 1.296 1.35 1.287 1.213 1.266
0.067 0.288 0.548 0.721 0.847 1.07 1.112 1.144 1.278 1.192 1.331 1.219 1.307 1.345 1.205
0.074 0.273 0.528 0.693 0.885 1.083 1.111 1.212 1.193 1.172 1.255 1.191 1.112 1.359 1.218
0.065 0.286 0.506 0.694 0.874 0.983 1.147 1.197 1.094 1.248 1.291 1.301 1.115 1.259 1.405
0.074 0.246 0.459 0.724 0.863 1.039 1.095 1.144 1.193 1.22 1.152 1.389 1.163 1.257 1.227
0.076 0.278 0.477 0.701 0.904 1.082 1.075 1.06 1.103 1.307 1.082 1.407 1.213 1.207 1.248
0.071 0.262 0.432 0.689 0.852 0.981 0.98 0.962 1.114 1.105 1.133 1.134 1.175 1.186 1.257
0.069 0.24 0.458 0.668 0.865 0.919 0.917 1.071 1.091 1.224 1.162 1.119 1.138 1.139 1.183
0.064 0.252 0.455 0.621 0.742 0.916 0.963 1.029 1.116 1.178 1.048 1.204 1.072 1.141 1.142
0.06 0.246 0.414 0.625 0.744 0.809 0.979 0.873 0.985 0.956 1.063 1.078 1.011 1.111 1.024
0.059 0.221 0.42 0.546 0.709 0.786 0.811 0.931 1.043 0.95 0.987 1.043 1.017 1.119 1.061
0.06 0.209 0.359 0.549 0.632 0.717 0.813 0.908 0.915 0.959 0.979 0.938 0.838 0.996 1.065
0.05 0.177 0.347 0.476 0.613 0.724 0.795 0.814 0.795 0.889 0.927 0.976 0.862 0.909 0.944
0.046 0.178 0.326 0.453 0.567 0.671 0.711 0.719 0.678 0.75 0.793 0.702 0.898 0.752 0.767
